Timestamp,Enter your name,Black Card (prompt) or White Card (answer)?,Enter the text for the card.
5/29/2014 19:23,Brendan Walker,White Card,Bronies.
5/29/2014 19:24,Brendan Walker,White Card,Spell Czecher.
,Cards Against Humanity,White Card,Raptor attacks.
,Cards Against Humanity,white Card,Waiting 'til marriage.
,Cards Against Humanity,white Card,Horse meat.
,Cards Against Humanity,white Card,Poor life choices.
,Cards Against Humanity,white Card,Finger painting.
,Cards Against Humanity,white Card,Scientology.
,Cards Against Humanity,white Card,"50,000 volts straight to the nipples."
,Cards Against Humanity,white Card,An asymmetric boob job.
,Cards Against Humanity,white card,"Graphic violence, adult language, and some sexual content."
,Cards Against Humanity,white Card,Menstrual rage.
,Cards Against Humanity,white Card,A can of whoop-ass.
,Cards Against Humanity,white Card,Cock.
,Cards Against Humanity,white Card,Hot Pockets.
,Cards Against Humanity,white Card,Ominous background music.
,Cards Against Humanity,white Card,Apologizing.
,Cards Against Humanity,white Card,A subscription to Men's Fitness.
,Cards Against Humanity,white Card,Sunshine and rainbows.
,Cards Against Humanity,white Card,Swapping bodies with mom for a day.
,Cards Against Humanity,white Card,Chainsaws for hands.
,Cards Against Humanity,white Card,Not having sex.
,Cards Against Humanity,white Card,Foreskin.
,Cards Against Humanity,white Card,Whipping it out.
,Cards Against Humanity,white Card,Swiftly achieving orgasm.
,Cards Against Humanity,white Card,An unstoppable wave of fire ants.
,Cards Against Humanity,white Card,Leprosy.
,Cards Against Humanity,white Card,A squadron of moles wearing aviator goggles.
,Cards Against Humanity,white Card,People with cake in their mouths talking about how good cake is
,Cards Against Humanity,white Card,Women's suffrage.
,Cards Against Humanity,white Card,Mario Kart rage.
,Cards Against Humanity,white Card,The Kool-Aide man.
,Cards Against Humanity,white Card,A slightly shittier parallel universe.
,Cards Against Humanity,white Card,A sad handjob.
,Cards Against Humanity,white Card,Getting drunk on mouthwash.
,Cards Against Humanity,white Card,Classist undertones.
,Cards Against Humanity,white Card,German dungeon porn.
,Cards Against Humanity,white Card,A live studio audience.
,Cards Against Humanity,white Card,Elderly japanese men.
,Cards Against Humanity,white Card,The Sarlacc.
,Cards Against Humanity,white Card,Smegma.
